image_file,mask_file,tta_rank_by_worst,tta_overall_dice,no_tta_overall_dice,tta_minus_no_tta,tta_overall_jaccard,no_tta_overall_jaccard,class_0_dice,class_0_jaccard,class_0_fp_pixels,class_0_fn_pixels,class_0_true_pixels,class_0_pred_pixels,class_0_prob_mean,class_1_dice,class_1_jaccard,class_1_fp_pixels,class_1_fn_pixels,class_1_true_pixels,class_1_pred_pixels,class_1_prob_mean,class_2_dice,class_2_jaccard,class_2_fp_pixels,class_2_fn_pixels,class_2_true_pixels,class_2_pred_pixels,class_2_prob_mean,class_3_dice,class_3_jaccard,class_3_fp_pixels,class_3_fn_pixels,class_3_true_pixels,class_3_pred_pixels,class_3_prob_mean,tta_panel_available,no_tta_panel_available,auto_hint
16_224_604_91_50_jpg.rf.2fc0f7e1ccfc3bb438060718c3ba1d5a.jpg,16_224_604_91_50_jpg.rf.2fc0f7e1ccfc3bb438060718c3ba1d5a.npz,742,0.9804947376251221,0.9808654189109802,-0.0003706812858581543,0.9617359042167664,0.9624493718147278,0.9804947376251221,0.9617359042167664,691.0,293.0,25025.0,25423.0,0.110152967274189,1.0,1.0,0.0,0.0,0.0,0.0,0.0002902149280998856,1.0,1.0,0.0,0.0,0.0,0.0,0.00018263903621118516,1.0,1.0,0.0,0.0,0.0,0.0,0.0004051525320392102,no,no,review
15_242_202_115_61_jpg.rf.685a38f403a3002d67ec7acde9143baa.jpg,15_242_202_115_61_jpg.rf.685a38f403a3002d67ec7acde9143baa.npz,743,0.980606198310852,0.9777657985687256,0.002840399742126465,0.9619502425193787,0.9564988017082214,0.980606198310852,0.9619502425193787,368.0,62.0,10933.0,11239.0,0.04875393211841583,1.0,1.0,0.0,0.0,0.0,0.0,0.00029032331076450646,1.0,1.0,0.0,0.0,0.0,0.0,0.0001751836680341512,1.0,1.0,0.0,0.0,0.0,0.0,0.00036674810689873993,no,no,review
18_228_Masson_208_67_41_jpg.rf.ededd08a0f3c01da734cffa0582499de.jpg,18_228_Masson_208_67_41_jpg.rf.ededd08a0f3c01da734cffa0582499de.npz,744,0.9806945323944092,0.980414867401123,0.0002796649932861328,0.9621203541755676,0.9615821838378906,0.9806945323944092,0.9621203541755676,91.0,242.0,8700.0,8549.0,0.037308428436517715,1.0,1.0,0.0,0.0,0.0,0.0,0.00031686018337495625,1.0,1.0,0.0,0.0,0.0,0.0,0.00018438177357893437,1.0,1.0,0.0,0.0,0.0,0.0,0.00039239568286575377,no,no,review
16_224_604_91_50_jpg.rf.864b9b311cb6baba9d56c16c09d35bb3.jpg,16_224_604_91_50_jpg.rf.864b9b311cb6baba9d56c16c09d35bb3.npz,745,0.9808205962181091,0.9765791296958923,0.004241466522216797,0.962363064289093,0.9542302489280701,0.9808205962181091,0.962363064289093,683.0,286.0,25063.0,25460.0,0.11043083667755127,1.0,1.0,0.0,0.0,0.0,0.0,0.00029242804157547653,1.0,1.0,0.0,0.0,0.0,0.0,0.00018421099230181426,1.0,1.0,0.0,0.0,0.0,0.0,0.00040664401603862643,no,no,review
18_228_Masson_505_104_28_jpg.rf.e90c72cf49abd57b02d13f0190bb87ed.jpg,18_228_Masson_505_104_28_jpg.rf.e90c72cf49abd57b02d13f0190bb87ed.npz,746,0.9809001088142395,0.9779289364814758,0.002971172332763672,0.9625161290168762,0.9568111300468445,0.9809001088142395,0.9625161290168762,230.0,553.0,20659.0,20336.0,0.0880424901843071,1.0,1.0,0.0,0.0,0.0,0.0,0.0004073623276781291,1.0,1.0,0.0,0.0,0.0,0.0,0.00022092134167905897,1.0,1.0,0.0,0.0,0.0,0.0,0.0003704394039232284,no,no,review
18_228_Masson_505_86_18_jpg.rf.84dcff8e131621e4308b328c7bf0a948.jpg,18_228_Masson_505_86_18_jpg.rf.84dcff8e131621e4308b328c7bf0a948.npz,747,0.9809474349021912,0.9777215123176575,0.0032259225845336914,0.9626073241233826,0.956413984298706,0.9809474349021912,0.9626073241233826,126.0,205.0,8726.0,8647.0,0.037397731095552444,1.0,1.0,0.0,0.0,0.0,0.0,0.0003160469641443342,1.0,1.0,0.0,0.0,0.0,0.0,0.00017628366185817868,1.0,1.0,0.0,0.0,0.0,0.0,0.0003917560388799757,no,no,review
15_242_202_134_56_jpg.rf.a4fdeb7242ef7d5060c887bb7d374f85.jpg,15_242_202_134_56_jpg.rf.a4fdeb7242ef7d5060c887bb7d374f85.npz,748,0.9810566902160645,0.9765735864639282,0.0044831037521362305,0.9628176689147949,0.9542196393013,0.9810566902160645,0.9628176689147949,101.0,354.0,12136.0,11883.0,0.05164574459195137,1.0,1.0,0.0,0.0,0.0,0.0,0.0002860795648302883,1.0,1.0,0.0,0.0,0.0,0.0,0.00017145092715509236,1.0,1.0,0.0,0.0,0.0,0.0,0.00037560949567705393,no,no,review
17_228_801_67_60_jpg.rf.ed3e9ec1d385994047955ecd66401818.jpg,17_228_801_67_60_jpg.rf.ed3e9ec1d385994047955ecd66401818.npz,749,0.9811561703681946,0.9788338541984558,0.0023223161697387695,0.9630093574523926,0.9585452079772949,0.9811561703681946,0.9630093574523926,1058.0,271.0,34870.0,35657.0,0.15436312556266785,1.0,1.0,0.0,0.0,0.0,0.0,0.0003062281757593155,1.0,1.0,0.0,0.0,0.0,0.0,0.000199113113922067,1.0,1.0,0.0,0.0,0.0,0.0,0.00044776301365345716,no,no,review
201_4_7_16_jpg.rf.6e9d6eb986251ad2726d5c6d755f9787.jpg,201_4_7_16_jpg.rf.6e9d6eb986251ad2726d5c6d755f9787.npz,750,0.9812793731689453,0.9795530438423157,0.0017263293266296387,0.963246762752533,0.9599254727363586,1.0,1.0,0.0,0.0,0.0,0.0,0.0002549682976678014,1.0,1.0,0.0,0.0,0.0,0.0,0.000306284666294232,1.0,1.0,0.0,0.0,0.0,0.0,0.0001605080033186823,0.9812793731689453,0.963246762752533,1004.0,1025.0,54202.0,54181.0,0.23437756299972534,no,no,review
18_228_Masson_505_89_33_jpg.rf.73a06be531e292e7de18684bbe424fd3.jpg,18_228_Masson_505_89_33_jpg.rf.73a06be531e292e7de18684bbe424fd3.npz,751,0.9813228249549866,0.9796838760375977,0.001638948917388916,0.9633305072784424,0.9601767659187317,0.9813228249549866,0.9633305072784424,576.0,152.0,19277.0,19701.0,0.08532805740833282,1.0,1.0,0.0,0.0,0.0,0.0,0.00033190351678058505,1.0,1.0,0.0,0.0,0.0,0.0,0.00019541732035577297,1.0,1.0,0.0,0.0,0.0,0.0,0.0004018627805635333,no,no,review
