"name","type","path","last_write_time","file_count","size_bytes","size_mb"
"C_l04_ramp35_scale100_bs8","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_l04_ramp35_scale100_bs8","2026-06-01 17:39:07","7","127433922","121.53"
"C_l035_ramp35_scale075","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_l035_ramp35_scale075","2026-06-01 17:39:40","4","65350173","62.323"
"C_scale075_l035_cls2w15","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l035_cls2w15","2026-06-08 22:13:47","4","80436300","76.71"
"C_scale075_l04_cls2w15","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w15","2026-06-08 22:13:47","4","80551009","76.819"
"C_scale075_l04_cls2w15_dice04","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w15_dice04","2026-06-08 22:13:47","4","80478527","76.75"
"C_scale075_l04_cls2w15_lr15e5","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w15_lr15e5","2026-06-08 22:13:47","4","91450810","87.214"
"C_scale075_l04_cls2w20","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w20","2026-06-08 22:13:47","4","80234667","76.518"
"C_scale075_l04_ramp50_cls2w15","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_ramp50_cls2w15","2026-06-08 22:13:47","5","96017778","91.57"
"C_scale100_l02_ramp45_cls2w15_lr15e5","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale100_l02_ramp45_cls2w15_lr15e5","2026-06-08 22:13:47","4","121138722","115.527"
"C_scale100_mild_lr15e5","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale100_mild_lr15e5","2026-06-08 22:13:47","4","113599887","108.337"
"C_scale075_l04_cls011_cls2w15","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls011_cls2w15","2026-06-12 22:00:07","4","79908152","76.206"
"C_scale075_l04_cls2w125","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w125","2026-06-12 22:00:07","4","81225938","77.463"
"C_scale075_l04_cls2w135","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w135","2026-06-12 22:00:07","4","81641082","77.859"
"C_scale075_l04_cls2w15_dice035","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w15_dice035","2026-06-12 22:00:07","4","80844259","77.099"
"C_scale075_l04_cls2w15_lr25e5","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w15_lr25e5","2026-06-12 22:00:07","4","79482094","75.8"
"C_scale075_l04_cls2w16","run_dir","E:\project\ORO\runsTemp\runsABCtest\logs\C_scale075_l04_cls2w16","2026-06-12 22:00:07","4","80051818","76.343"
