sample_index,image_file,original_overall_dice,original_macro_class_dice,ignore_class_macro_dice,original_overall_jaccard,original_macro_class_jaccard,ignore_class_macro_jaccard
767,18_236_203_76_20_jpg.rf.364e14da60cd3fa699d78be1c891d045.jpg,0.9027318358421326,0.9756829738616943,0.9675772786140442,0.8227084875106812,0.9556771516799927,0.940902829170227
563,201_13_11_35_jpg.rf.75fe3188c172fa1743238f9158c89b10.jpg,0.904230535030365,0.9760576486587524,0.9680768450101217,0.8252013921737671,0.9563003778457642,0.9417337973912557
60,18_229_Masson_201_71_26_jpg.rf.a4e6cc1f6671061f33979d183cbc596e.jpg,0.9043437838554382,0.9760859608650208,0.9681145946184794,0.8253901600837708,0.9563475251197815,0.9417967200279236
491,102_1_7_33_jpg.rf.a5f6122070ca88f1b327e605fb175d99.jpg,0.9044917821884155,0.9761229753494263,0.9681639273961385,0.8256366848945618,0.9564091563224792,0.9418788949648539
528,18_228_Masson_505_97_38_jpg.rf.eec588e7603a4fce049541864beb48ce.jpg,0.9049734473228455,0.9762433767318726,0.9683244824409485,0.8264396786689758,0.9566099047660828,0.9421465595563253
705,201_9_14_50_jpg.rf.cf9b14720490032aa3bad280ec88c7b0.jpg,0.9051659107208252,0.9762914776802063,0.9683886369069418,0.8267607688903809,0.9566901922225952,0.942253589630127
449,18_229_Masson_201_53_12_jpg.rf.f1be5d63205d93ab15521b5f282ab9fe.jpg,0.905375063419342,0.9763437509536743,0.968458354473114,0.8271098136901855,0.9567774534225464,0.9423699378967285
773,15_242_208_30_10_jpg.rf.8a349d4f09cf21cb6e85c5c2ac5e362c.jpg,0.905739963054657,0.9764350056648254,0.9685799876848856,0.8277190923690796,0.9569298028945923,0.9425730307896932
10,201_9_12_57_jpg.rf.71c7b72a3b9bf7170c5ab325e8adf74a.jpg,0.9058059453964233,0.9764515161514282,0.9686019817988077,0.8278293609619141,0.9569573402404785,0.9426097869873047
712,18_229_Masson_201_108_28_jpg.rf.410cade08fa5472ad05b619a396e972a.jpg,0.9073821306228638,0.9768455028533936,0.969127376874288,0.830466091632843,0.9576165080070496,0.9434886972109476
461,15_242_208_25_27_jpg.rf.4f5dbbcb756b4bbb98f956ff3f6a91f6.jpg,0.907387375831604,0.9768468141555786,0.9691291252772013,0.8304749131202698,0.9576187133789062,0.9434916377067566
717,18_228_Masson_505_100_30_jpg.rf.3c6c4699b59a2d101302d72859b699d9.jpg,0.9074552059173584,0.9768638014793396,0.9691517353057861,0.8305885195732117,0.9576471447944641,0.9435295065244039
103,18_228_Masson_505_86_33_jpg.rf.7bab2575f2bb844e1d1a27d8f2b286ee.jpg,0.9076923131942749,0.9769231081008911,0.9692307710647583,0.8309859037399292,0.9577465057373047,0.9436619679133097
620,201_9_12_57_jpg.rf.9d4f0cdfe6c08176c77b8657d6799a4c.jpg,0.9082790017127991,0.9770697355270386,0.9694263339042664,0.8319698572158813,0.957992434501648,0.9439899524052938
323,201_10_18_29_jpg.rf.d66dc2a0d2cf55dcd3397fd1609abd92.jpg,0.9085138440132141,0.9771284461021423,0.9695046146710714,0.8323640823364258,0.9580910205841064,0.9441213607788086
86,15_242_208_25_27_jpg.rf.d3e09be97cd13d4026e403e0d6fe6468.jpg,0.9087236523628235,0.9771808981895447,0.9695745507876078,0.8327164053916931,0.9581791162490845,0.9442388017972311
473,207_1_11_2_jpg.rf.c058fd0e57d4c84285f02db6fb12c000.jpg,0.9093545079231262,0.9773386120796204,0.9697848359743754,0.8337764143943787,0.9584441184997559,0.9445921381314596
172,15_242_208_26_26_jpg.rf.dd99cee1f80b6f34d18605df37caf72a.jpg,0.9107755422592163,0.9776939153671265,0.9702585140864054,0.8361688256263733,0.9590421915054321,0.9453896085421244
465,201_2_12_23_jpg.rf.d2cbd786290afe3df0dc6889e729aa8f.jpg,0.9111728668212891,0.9777932167053223,0.9703909556070963,0.8368389010429382,0.9592097401618958,0.9456129670143127
22,15_242_208_26_14_jpg.rf.e75aed4ea66cb5e3915ce7370b96a335.jpg,0.9113950729370117,0.9778487682342529,0.9704650243123373,0.8372138142585754,0.9593034386634827,0.9457379380861918
378,18_228_Masson_505_100_31_jpg.rf.8c8e7779d55729254b0c7d44584c9a64.jpg,0.9125005602836609,0.9781251549720764,0.9708335200945536,0.839081346988678,0.9597703218460083,0.946360448996226
52,18_228_Masson_505_96_37_jpg.rf.bf9ede65393fc636a3194e948540ae9d.jpg,0.9129566550254822,0.9782391786575317,0.9709855516751608,0.839853048324585,0.9599632620811462,0.9466176827748617
492,15_242_208_29_14_jpg.rf.3b3bc51aa00661c8ed4f597e88d1e48a.jpg,0.9130450487136841,0.9782612323760986,0.9710150162378947,0.8400026559829712,0.9600006341934204,0.9466675519943237
