sample_index,image_file,original_overall_dice,original_macro_class_dice,ignore_class_macro_dice,original_overall_jaccard,original_macro_class_jaccard,ignore_class_macro_jaccard
391,17_209_102_11_22_jpg.rf.ce2c67d1606716f6dad4f465f40c0a47.jpg,0.8499919772148132,0.9624980092048645,1.0,0.7391182780265808,0.9347795844078064,1.0
190,17_209_102_10_32_jpg.rf.47db37530984855dd7a6f47df7618db3.jpg,0.851284921169281,0.9628212451934814,1.0,0.7410757541656494,0.9352689385414124,1.0
126,15_242_208_198_53_jpg.rf.9476f7b2110833c0c81eeb0eb001e9b0.jpg,0.8539817333221436,0.9634954333305359,1.0,0.7451728582382202,0.9362932443618774,1.0
6,17_209_102_11_28_jpg.rf.801b14638ae82ccda6e533ef97074e0c.jpg,0.8566133379936218,0.9641533493995667,1.0,0.7491896152496338,0.9372974038124084,1.0
733,15_239_101_65_50_jpg.rf.1fdf31d152a6ad0d28f92ae2fa49a405.jpg,0.861636221408844,0.9654090404510498,1.0,0.7569076418876648,0.9392269253730774,1.0
418,15_239_101_65_76_jpg.rf.d135a4794c22389c7b30a8e316307d3c.jpg,0.8643231987953186,0.9660807847976685,1.0,0.7610644102096558,0.9402661323547363,1.0
713,15_239_101_65_66_jpg.rf.88e732a0717d32ea75772a268798a236.jpg,0.8679336905479431,0.966983437538147,1.0,0.766680896282196,0.9416702389717102,1.0
107,17_209_102_6_28_jpg.rf.0a45be925b6ee7209cfb6e2db252ec9d.jpg,0.8689327239990234,0.9672331809997559,1.0,0.7682413458824158,0.9420603513717651,1.0
220,15_239_101_64_71_jpg.rf.5bee8e2f24a077a3e3a6cf15ac80acbd.jpg,0.8703467845916748,0.9675866961479187,1.0,0.7704548239707947,0.9426137208938599,1.0
529,15_242_208_199_44_jpg.rf.0f0ecf8790cd86c9d55768b6b3bcd66c.jpg,0.8731693029403687,0.9682923555374146,1.0,0.7748894691467285,0.9437223672866821,1.0
152,16_224_603_157_55_jpg.rf.6daa233f6b629748754644d55ca8eabc.jpg,0.8736128211021423,0.9684032201766968,1.0,0.77558833360672,0.9438970685005188,1.0
507,16_224_603_162_39_jpg.rf.90a710ad1582c57b745d02e0ba90a54c.jpg,0.8738521933555603,0.9684630632400513,1.0,0.7759657502174377,0.9439914226531982,1.0
371,15_239_101_65_76_jpg.rf.964172b93413f55d9a76b5e7b59eff44.jpg,0.8744170665740967,0.9686042666435242,1.0,0.7768570780754089,0.9442142844200134,1.0
87,15_242_208_199_42_jpg.rf.a90f85295d97729fc1aa5b5d8450eec5.jpg,0.8751171827316284,0.9687793254852295,1.0,0.7779629826545715,0.9444907307624817,1.0
253,16_224_101_110_13_jpg.rf.2830af28944ac3eaa8bf2a545d6feade.jpg,0.877240777015686,0.9693101644515991,1.0,0.7813258171081543,0.9453314542770386,1.0
69,17_209_102_16_16_jpg.rf.96d3d9a8125b88eaf21759b965cf7af0.jpg,0.8792733550071716,0.9698183536529541,1.0,0.7845564484596252,0.9461390972137451,1.0
243,17_209_102_11_34_jpg.rf.73fa98019d7952a1ff1946b9ee2457ca.jpg,0.8829975724220276,0.9707493782043457,1.0,0.7905063629150391,0.9476265907287598,1.0
272,16_224_101_111_30_jpg.rf.046838bee1d52e94b41292ad7c9b763a.jpg,0.883012592792511,0.9707531332969666,1.0,0.7905304431915283,0.9476326107978821,1.0
119,17_209_102_6_33_jpg.rf.6943f51d41a117219408a978ca1f2807.jpg,0.8838653564453125,0.9709663391113281,1.0,0.7918985486030579,0.9479746222496033,1.0
283,15_242_208_198_53_jpg.rf.7eda18b8c56e32545d8947f5dd29860a.jpg,0.8853439688682556,0.9713360071182251,1.0,0.7942754626274109,0.9485688805580139,1.0
